RamanShift (cm-1)	00:00:27	00:01:30	00:02:00	00:02:30	00:03:00	00:03:30	00:04:00	00:04:30	00:05:00	00:05:30	00:06:00	00:06:30	00:07:00	00:07:30	00:08:00	00:08:30	00:09:00	00:09:30	00:10:00	00:10:30	00:11:00	00:11:30	00:12:00	00:12:30	00:13:00	00:13:30	00:14:00	00:14:30	00:15:00	00:15:30	00:16:00	00:16:30	00:17:00	00:17:30
3387.0000	3609.99782798	3887.72566409	4341.68643218	3632.94683788	3657.55916795	3700.74175125	3480.80950700	3942.13133925	3242.02490185	3658.87473819	4622.45701064	3987.87846164	3638.72201248	3934.65492528	3045.47123707	3871.68872570	3655.61020025	4332.20307971	4011.26829498	4136.37941490	3577.60076636	2913.64302693	3813.70237475	3794.44737455	3088.79421696	3506.34227563	3744.35315791	2174.96254282	3874.29569126	3833.50663168	3928.78935255	3433.27324564	4025.35571489	3421.27740159
3386.0000	2773.64635424	3688.21089323	4251.38775891	3618.60331423	3055.59930663	3354.91840356	3600.59948278	3211.45191119	3384.37171894	3352.92082871	4451.88394338	3812.29357512	4010.01753218	3315.54758582	3036.48780349	3743.72823258	3601.21007873	4420.77384168	3515.19437778	4023.86056267	3406.33314672	2943.30670265	3927.87409565	3762.33425630	2972.28438456	3761.15091782	3819.27693279	2570.93662078	3407.86359005	3341.80393212	3689.77518427	3363.32800891	3517.98866117	3369.24356334
3385.0000	2592.79735162	3499.82368207	4281.63213918	4291.80943543	2751.65687180	3293.16937500	3564.99064745	2684.26568524	3590.82742837	3198.54724161	4030.93372263	3902.46898131	4264.19372782	2679.21560450	3140.16651042	3507.67832319	3835.44584768	4371.36611631	3605.96357327	3842.31758411	2998.83914171	3208.95059290	3925.75562239	3897.47124458	2740.70057227	3661.83724665	3783.47919180	2847.54537953	3426.57793842	3212.04215011	3714.97942415	3256.00273190	3654.29461418	3363.13180202
3384.0000	2866.28745173	3068.58526677	4043.11339227	4431.60562763	2666.39338706	3130.88889218	3052.47100959	2412.81159561	3709.06623268	3067.30098701	3449.17894607	3556.48158798	3556.89347967	2722.89939146	3344.72602340	3093.72858267	3364.07488778	3845.93474919	4014.05626277	3303.90495300	2431.84183836	3230.35446462	3497.34219964	3531.41083435	2393.73922134	3292.94464256	3284.53850448	2648.35859234	3508.96043941	3360.03486028	3534.84528281	3044.11872840	4059.07937560	3040.71689276
3383.0000	2954.23253781	2690.27715328	3526.23506762	3815.22783843	2556.00173075	2720.94922579	2818.88756671	2283.40221971	3820.52744762	3044.00060576	3081.83366479	2960.75383013	2644.00569380	3292.15640936	3306.05644792	2745.55240728	2241.03041461	3049.71473470	4203.18533745	2932.34203756	2435.01439686	3190.79044900	2921.16677830	2918.24479511	2428.72073630	2974.65773832	3215.20175838	2332.71874514	3335.77145203	3239.76206377	2975.11425739	2777.39184725	4090.81197706	2497.42818954
3382.0000	3039.61998262	2927.72192821	3268.44195533	3466.72163802	3065.35003826	2683.76478415	3363.73783764	2666.56797720	3906.31529006	3239.87995932	3146.65396869	2850.74046686	2584.51184896	3549.74402325	3276.91873996	2926.94958315	1957.00732531	2870.63784849	4210.94590045	3171.93752328	3108.00569524	3302.83612868	2774.81808182	3098.01633516	3029.23823406	2961.34488736	3936.18327227	2671.66531793	3014.29687159	2937.85603077	3240.73530066	2854.55464982	3981.68438284	2483.22412405
3381.0000	3668.93800117	3717.95364336	3828.79471859	3971.88914190	4383.56532055	3675.17689395	4318.26385244	3704.29923015	3907.71485741	3794.88510233	3562.09033558	3437.07834275	3429.87663264	3762.97962176	3871.01269667	4148.77685121	2980.05845813	3832.09371599	4375.58982653	3731.57378259	3908.21977667	3655.57451924	3253.84656256	3851.71009365	3797.31349719	3480.34443910	4624.11174120	3836.04432236	3046.37019739	3257.66123579	4755.85325253	3559.02063441	4379.84363655	3455.56509646
3380.0000	4792.56132994	4560.10396371	4867.40536913	4828.56724377	5425.61441566	4874.09798308	5106.45266719	4671.05727838	4017.26586519	4514.23054900	4287.45915978	4335.86195085	4589.59495721	4683.10707722	4680.36279286	5788.57682431	4176.47715890	4986.34116389	4836.32324082	4405.52062007	4479.33030519	4203.68639735	3843.08358184	4373.30575366	4324.14732382	4251.34245326	5012.01623652	4934.57164000	3749.88617547	4084.66598448	6148.22254208	4451.97394803	5237.82315345	4700.88037500
3379.0000	5566.75612656	5096.33991545	5177.16080096	5083.90655490	5454.56951238	5115.40405804	5310.39410218	5090.51189403	4300.60895326	4923.99955288	4966.05257601	4991.94152255	5204.04293881	5547.27228583	4813.08324584	6362.39182238	4685.45587227	5113.77276664	5355.69514807	4831.58265154	4705.74137749	4589.64654349	4047.72739412	4821.04582674	4561.76339926	4415.67767893	5377.97975957	5138.91036502	4434.30804076	4366.77102855	6274.93652552	4988.07320999	5863.89640457	5176.37027533
3378.0000	5215.37216297	5157.28310517	4364.65968840	4429.21937078	4660.52584205	4672.15376987	4802.91461751	4966.03275665	4468.24983070	4908.14483938	5023.73216518	4931.87291582	4706.13868157	5240.55993942	4286.99230909	5533.35906619	4538.73090911	4556.49512708	5330.62946268	4421.73382840	4487.54990294	4671.55047843	4113.44045510	5066.99225800	4531.45447213	3775.64550008	5272.09022124	4517.30875140	4288.24330200	3904.73970516	5360.57047937	5096.71201466	5705.29517935	4730.80055401
