

, Lambda = 10000.0, Ratio = 0.05, Itermax = 10
RamanShift (cm-1)	00:00:27	00:01:30	00:02:00	00:02:30	00:03:00	00:03:30	00:04:00	00:04:30	00:05:00	00:05:30	00:06:00	00:06:30	00:07:00	00:07:30	00:08:00	00:08:30	00:09:00	00:09:30	00:10:00	00:10:30	00:11:00	00:11:30	00:12:00	00:12:30	00:13:00	00:13:30	00:14:00	00:14:30	00:15:00	00:15:30	00:16:00	00:16:30	00:17:00	00:17:30
3.3900000e+03	2.1870408e+03	2.3003155e+03	1.7026058e+03	7.3928167e+02	1.9756733e+03	1.6411471e+03	1.9395896e+03	2.7247867e+03	1.1148648e+03	2.2237903e+03	1.8143887e+03	2.2011745e+03	1.4149764e+03	1.6879581e+03	5.8439725e+02	2.0635260e+03	2.4860344e+03	8.5879147e+02	1.3859413e+03	2.2662791e+03	2.2034906e+03	1.8123469e+03	1.4695019e+03	1.3357072e+03	2.0862323e+03	1.7368786e+03	1.3690609e+03	2.0599264e+03	1.6649399e+03	1.3706360e+03	1.0697224e+03	2.1157017e+03	2.1273078e+03	2.1746254e+03
3.3890000e+03	2.2459305e+03	2.3231090e+03	2.0991725e+03	8.7497146e+02	2.2085378e+03	2.1790790e+03	2.0399486e+03	2.9655079e+03	1.1328660e+03	2.2294928e+03	2.0038914e+03	2.4277374e+03	1.7595393e+03	1.7695993e+03	3.5979437e+02	1.9707281e+03	2.6174216e+03	1.3975438e+03	1.9903141e+03	2.1761560e+03	2.2692308e+03	1.6661148e+03	1.6150806e+03	1.5939410e+03	1.8380571e+03	1.5209325e+03	1.7579219e+03	1.4112625e+03	2.5067881e+03	1.7488350e+03	1.0539722e+03	1.9570028e+03	2.5184507e+03	2.0348958e+03
3.3880000e+03	1.6962600e+03	1.6892748e+03	1.7106804e+03	3.0855991e+02	1.8596511e+03	1.8137036e+03	1.2395309e+03	2.4452416e+03	4.3767228e+02	1.3679424e+03	1.6203637e+03	1.9012806e+03	1.4549806e+03	1.6044544e+03	2.5897921e+01	1.5291157e+03	2.3111782e+03	1.4469974e+03	1.8260288e+03	1.6022820e+03	1.6796493e+03	7.6160263e+02	1.2419407e+03	1.2278094e+03	1.1695918e+03	9.8370845e+02	1.2098208e+03	3.7023290e+02	2.1572139e+03	1.6213394e+03	1.0715131e+03	1.1281235e+03	1.7414325e+03	1.4680201e+03
3.3870000e+03	7.9249783e+02	1.1441743e+03	1.2109395e+03	-5.4916847e+02	1.2724172e+03	1.0705440e+03	6.5830182e+02	1.6509827e+03	4.5834160e+01	5.6820095e+02	1.3574149e+03	1.1402941e+03	1.0926705e+03	1.2372909e+03	-9.7367209e+01	1.1367214e+03	1.7849107e+03	1.3515641e+03	1.1115358e+03	1.1527518e+03	1.1971841e+03	-1.3061729e+01	9.9710261e+02	7.8102697e+02	7.1969347e+02	9.4814480e+02	6.6750807e+02	4.0565691e+00	1.2815235e+03	1.0742643e+03	8.9037450e+02	6.6620463e+02	7.5596404e+02	1.0199762e+03
3.3860000e+03	-7.3619540e+01	9.1818180e+02	1.1045504e+03	-5.7406492e+02	6.3600530e+02	6.9715883e+02	7.4044084e+02	8.9248876e+02	1.5897550e+02	2.3553631e+02	1.1768838e+03	9.5166694e+02	1.4366527e+03	5.8541725e+02	-1.2258481e+02	9.7986251e+02	1.7044155e+03	1.4173338e+03	5.8358847e+02	1.0168409e+03	1.0004386e+03	-4.8723244e-02	1.0928449e+03	7.4108190e+02	5.7882444e+02	1.1704108e+03	7.3728503e+02	3.6977589e+02	7.9491637e+02	5.5389119e+02	6.3635505e+02	5.7765961e+02	2.3102046e+02	9.3637013e+02
3.3850000e+03	-2.8426608e+02	7.0331688e+02	1.1187852e+03	8.8831389e+01	2.9776333e+02	6.0784798e+02	6.6736816e+02	3.3748799e+02	3.3636239e+02	5.4451967e+01	7.4576177e+02	1.0287656e+03	1.6635157e+03	-8.3681036e+01	-3.5223658e+01	7.1496447e+02	1.9125561e+03	1.3450385e+03	6.4262681e+02	8.1195229e+02	5.6746669e+02	2.4892904e+02	1.0722970e+03	8.6829139e+02	3.2288142e+02	1.0386781e+03	6.9627676e+02	6.1612948e+02	7.9343426e+02	3.9560234e+02	6.4662112e+02	4.5169749e+02	3.4977460e+02	8.9868611e+02
3.3840000e+03	-4.0602323e+01	2.4560076e+02	8.6434474e+02	2.1843780e+02	1.7836554e+02	4.1800565e+02	1.1758630e+02	3.8219363e+01	4.2568175e+02	-1.0350509e+02	1.5359931e+02	6.6966269e+02	9.2890221e+02	-7.2763557e+01	1.5294749e+02	2.7222091e+02	1.4150901e+03	7.9662610e+02	1.0191505e+03	2.5024459e+02	-2.5008498e+01	2.5365080e+02	6.2545415e+02	4.9419926e+02	-4.8439130e+01	6.3749918e+02	1.9205693e+02	3.8668672e+02	8.5559658e+02	5.1522390e+02	4.5162198e+02	2.2113671e+02	7.3703616e+02	5.4469895e+02
3.3830000e+03	1.7518881e+01	-1.5918506e+02	3.3163957e+02	-4.0814170e+02	3.4017519e+01	-1.9495897e+01	-1.5304323e+02	-1.1900456e+02	5.0838562e+02	-1.5352144e+02	-2.2441180e+02	6.0776306e+01	-1.1298825e+01	4.6373552e+02	9.7834853e+01	-1.0469071e+02	2.6595049e+02	-2.2675091e+01	1.1768916e+03	-1.4455871e+02	-4.7313824e+01	1.9738803e+02	3.0849249e+01	-1.2711142e+02	-3.7816818e+01	2.8706761e+02	1.1736753e+02	4.0789689e+01	6.6216141e+02	3.6674847e+02	-1.2289482e+02	-6.4309791e+01	7.5127806e+02	-3.0162013e+01
3.3820000e+03	7.3120234e+01	5.1782007e+01	5.8121400e+01	-7.6701535e+02	5.0959952e+02	-8.4242263e+01	3.5498419e+02	2.3634284e+02	5.6559094e+02	1.5642020e+01	-1.7054339e+02	-6.2443112e+01	-9.8105913e+01	6.8858921e+02	5.2214512e+01	4.8031862e+01	-4.4167698e+01	-2.2494013e+02	1.1534646e+03	7.1855156e+01	6.0020209e+02	2.9271754e+02	-1.3392895e+02	4.4393911e+01	5.3834632e+02	2.4176075e+02	8.3291792e+02	3.4947746e+02	3.2041238e+02	3.6820922e+01	1.2802574e+02	-5.9123299e+00	6.2469617e+02	-7.5938334e+01
3.3810000e+03	6.7272353e+02	8.1555193e+02	6.0285786e+02	-2.7249403e+02	1.7942473e+03	8.7960983e+02	1.2729330e+03	1.2462600e+03	5.3859553e+02	5.4395192e+02	2.3364955e+02	5.1063105e+02	7.1994676e+02	8.6913053e+02	6.2979439e+02	1.2412583e+03	9.5278542e+02	7.1321608e+02	1.2871404e+03	6.0838710e+02	1.3749505e+03	6.2871910e+02	3.2666691e+02	7.8970391e+02	1.2820807e+03	7.2892597e+02	1.5153271e+03	1.4835918e+03	3.3218070e+02	3.2879834e+02	1.6285468e+03	6.7974613e+02	1.0054414e+03	8.6483340e+02
