q,I,I_baseline,I_diff
0.51132705,2.339488,2.1686050825048753,0.17088291749512452
0.53313353,1.9675004,2.1763393761067262,-0.2088389761067262
0.55494001,2.0726562,2.184242591795357,-0.11158639179535701
0.5767465,2.3336382,2.1922749100938206,0.14136328990617963
0.59855298,2.2428551,2.2002850436077273,0.042570056392272626
0.62035946,2.1250205,2.208261801547756,-0.08324130154775577
0.64216594,2.3193829,2.216236397026688,0.10314650297331207
0.66397242,2.1020131,2.2241569141648725,-0.1221438141648723
0.6857789,2.0714877,2.2320739130872638,-0.16058621308726373
0.70758538,2.5129602,2.2399159287189483,0.2730442712810519
0.72939186,2.5376554,2.2474510224422284,0.2902043775577714
0.75119834,2.3672137,2.2547129756982076,0.11250072430179259
0.77300482,2.1949253,2.2620168096025504,-0.06709150960255039
0.7948113,2.0521283,2.269789254543765,-0.21766095454376488
0.81661778,2.0247912,2.278390053219359,-0.25359885321935893
0.83842427,2.3548899,2.2879613816708195,0.06692851832918034
0.86023075,2.3051586,2.2983918981657214,0.006766701834278521
0.88203723,2.3023512,2.3096368683634947,-0.007285668363494757
0.90384371,2.2483943,2.3216583050719533,-0.07326400507195308
0.92565019,2.278465,2.3344109541324425,-0.0559459541324423
0.94745667,2.3753097,2.3477764051121928,0.02753329488780709
0.96926315,2.4032733,2.3615803968677387,0.04169290313226126
0.99106963,2.5355637,2.3756761066964263,0.15988759330357372
1.0128761,2.3779287,2.3899582429384942,-0.012029542938494231
1.0346826,2.4516912,2.40447972484494,0.04721147515506008
1.0564891,2.5587618,2.419281471802249,0.13948032819775102
1.0782956,2.4732356,2.4344514227059837,0.03878417729401651
1.100102,2.3640499,2.450215764684266,-0.08616586468426624
1.1219085,2.3855045,2.4668393222520715,-0.08133482225207134
1.143715,2.5941114,2.4845008675477307,0.10961053245226937
1.1655215,2.6043651,2.503297949403309,0.10106715059669069
1.187328,2.4727979,2.5234369755277473,-0.050639075527747046
1.2091344,2.491786,2.5452247763956977,-0.05343877639569783
1.2309409,2.5968006,2.5689176331239616,0.027882966876038306
1.2527474,2.722904,2.59471848038753,0.12818551961247016
1.2745539,2.6777761,2.6228580402592656,0.05491805974073438
1.2963604,2.6263909,2.653694200042901,-0.027303300042901046
1.3181668,2.5319862,2.6876395295932745,-0.1556533295932745
1.3399733,2.5744929,2.7250793538434803,-0.15058645384348024
1.3617798,2.8501,2.766243456596572,0.08385654340342796
1.3835863,2.7584555,2.811211148215504,-0.052755648215503825
1.4053928,2.8324385,2.860145141183038,-0.027706641183038005
1.4271992,2.82109,2.9131554823938886,-0.09206548239388868
1.4490057,2.6880007,2.9703245703997894,-0.28232387039978946
1.4708122,2.8553278,3.031642850468364,-0.17631505046836393
1.4926187,3.113023,3.096818512683947,0.01620448731605295
1.5144252,3.1050649,3.1653835371056678,-0.06031863710566787
1.5362317,3.130748,3.2368860591993767,-0.10613805919937658
1.5580381,3.2463155,3.31081399155112,-0.06449849155111975
1.5798446,3.4356961,3.38654922324272,0.04914687675728002
1.6016511,3.5594471,3.4634092441349904,0.09603785586500946
1.6234576,3.6540394,3.5407604925966454,0.11327890740335445
1.6452641,3.9776723,3.618064865529217,0.3596074344707829
1.6670705,3.9821119,3.6948967413256297,0.2872151586743703
1.688877,3.8058066,3.7711704771112724,0.03463612288872753
1.7106835,4.107676,3.8470787976068386,0.2605972023931611
1.73249,4.2909694,3.9228489317879833,0.3681204682120165
1.7542965,4.335865,3.998961981192436,0.3369030188075639
1.7761029,4.4550104,4.076243836995919,0.3787665630040813
1.7979094,4.532238,4.155840133913972,0.37639786608602854
1.8197159,4.5934129,4.2392474204621315,0.35416547953786814
1.8415224,4.7242441,4.328310405741388,0.3959336942586118
1.8633289,4.6966329,4.425204684819803,0.27142821518019744
1.8851353,4.7150664,4.532464062490676,0.18260233750932464
1.9069418,4.8554888,4.652883655593101,0.20260514440689903
1.9287483,4.8638515,4.789437727934467,0.07441377206553312
1.9505548,5.0313067,4.94529836973495,0.08600833026504962
1.9723613,5.0555015,5.123711448942121,-0.06820994894212085
1.9941677,5.2929044,5.328007989417296,-0.035103589417295744
2.0159742,5.5025444,5.561450998170054,-0.05890659817005428
2.0377807,5.6951942,5.827268514757815,-0.13207431475781473
2.0595872,5.8270321,6.128629863216106,-0.30159776321610554
2.0813937,5.9321079,6.468572525205949,-0.5364646252059488
2.1032002,6.1345425,6.84983250854923,-0.7152900085492302
2.1250066,6.899158,7.274609385225991,-0.37545138522599153
2.1468131,7.2474322,7.74438744497491,-0.4969552449749095
2.1686196,7.6514759,8.26027558986001,-0.6087996898600094
2.1904261,8.1853867,8.8228857919458,-0.6374990919458003
2.2122326,8.6352186,9.432221233079337,-0.7970026330793374
2.234039,9.0845861,10.087647601756993,-1.003061501756994
2.2558455,9.7419386,10.787733585115383,-1.0457949851153838
2.277652,10.595767,11.530044808965691,-0.9342778089656907
2.2994585,11.42981,12.311101104207587,-0.8812911042075875
2.321265,12.533714,13.126488024019926,-0.592774024019926
2.3430714,13.98745,13.970909830538728,0.01654016946127257
2.3648779,15.378959,14.838478012077676,0.540480987922324
2.3866844,16.434294,15.723320596745024,0.710973403254977
2.4084909,17.724771,16.62010573439605,1.104665265603952
2.4302974,19.324368,17.524211910415808,1.800156089584192
2.4521038,20.565205,18.432114090168465,2.133090909831534
2.4739103,21.608908,19.34130975107561,2.26759824892439
2.4957168,22.961794,20.249766087623744,2.712027912376257
2.5175233,24.266806,21.15599945465306,3.1108065453469393
2.5393298,25.488827,22.058592324180257,3.4302346758197437
